participant_id,taxa_1,taxa_2,taxa_3,taxa_4,taxa_5,taxa_6,taxa_7,taxa_8,taxa_9,taxa_10,shannon_diversity
1,0.8878567926762226,0.13841557278158978,0.744780655141766,0.32131889950642867,0.9805821985942876,0.8654598515228994,0.29315246862717936,0.8460548381964641,0.9482523716181412,0.7547970815727832,1.27655829210511
2,0.6963112682354063,0.3993787101028001,0.4729130022384551,0.8455329965625688,0.5395048225537353,0.025242357799643678,0.6320504948017279,0.12392300992394434,0.5560347537651469,0.3692911744286478,2.8087965901207697
3,0.44032787666540907,0.4243068610809919,0.12175435547305369,0.18690374892671535,0.6263093617098563,0.26690581479113473,0.026196605250843774,0.596486898341737,0.5005614208491012,0.24221980649226726,2.0925623492693406
4,0.4382143843772247,0.5622183787309056,0.542635925788506,0.4172910609033441,0.0055454084069045395,0.5020711003267428,0.8875934604677749,0.01639248087593137,0.003532210966248339,0.9376683567905958,2.6937110277884306
5,0.7650960952393066,0.12224354963250506,0.0667744432250047,0.9890345073952994,0.48490944344255926,0.06744863513005173,0.016118630423373914,0.7211843660506068,0.4808890438749621,0.9080110836630401,1.5740071621616698
6,0.5656420012258828,0.20139950138137086,0.6533648713530407,0.23659981170551936,0.9883285346223875,0.9930332610947917,0.12695803103596137,0.007737514125903955,0.9274549985626518,0.34879731608699105,3.030717578958282
7,0.0849041631918176,0.8116443482840215,0.9960863273678254,0.9168323329388289,0.3751855274827981,0.2364623961980289,0.7771624615706022,0.08482227744523363,0.19836568902671914,0.6346380702580473,1.6465163418269793
8,0.5826710878614046,0.4679875740567494,0.7693973370739623,0.918397467805633,0.09703815863886123,0.37429218234544803,0.04589523220217062,0.2254984104500236,0.05209113438949886,0.27384221165307576,1.8340707812321082
9,0.8148437028934097,0.8079382094836102,0.5737741136588245,0.09129634220320182,0.4619087615684484,0.21401191490834626,0.71099869359551,0.8751245338732246,0.40677889347386853,0.20611512871356907,3.2252812664346306
10,0.33706638344761,0.007426378544613033,0.10263525921079586,0.463652724885516,0.9630044659922582,0.10544586610545081,0.9710461405101289,0.36357631798761336,0.372396480594112,0.3363395289967944,2.6792136869341356
11,0.9275765795753895,0.5515927259824055,0.6998340747729147,0.5022163353227871,0.34183061356501643,0.23247978560423577,0.8716829331423073,0.5399599352125585,0.8571530578712436,0.3270998926155012,2.0045092386010577
12,0.7507170003431679,0.9319321480766781,0.6611678673279311,0.31366895005212747,0.7989227332150132,0.3006101355032047,0.7101616513206985,0.5681032138189784,0.02661111555995954,0.8822761011966163,2.628966347635581
13,0.5740638251499645,0.5821754591458701,0.04909713062277632,0.047339537237736984,0.7988463312130619,0.6344422678994391,0.9585097430216668,0.22546336030595993,0.9201492297590049,0.8223038147237254,3.0819541085747275
14,0.7516439887929184,0.20609572744527416,0.7922993018445906,0.24168563724539782,0.20824829673893663,0.2812347814529085,0.42981333788658194,0.5721467679844612,0.6809029989949564,0.7096232285590979,3.736396364432887
15,0.07914896073820521,0.7177575622795576,0.5187165908905051,0.09552964155536092,0.44336770180121177,0.36227676097657624,0.8728789143218073,0.6609517950296032,0.9042259940642177,0.9593452252588969,2.7421396401833618
16,0.8593890756806114,0.3789858496989177,0.4258676941999191,0.23824990571241178,0.7156012751543048,0.005942843723529823,0.3559576679736146,0.29824539331732947,0.6075290708206388,0.42254335310805813,1.6980591366786428
17,0.8215041132005579,0.6683839472594598,0.7881871736014655,0.8077910862901561,0.41051978541392786,0.36571912592736455,0.9297636529038468,0.41862685898002594,0.8119533124361243,0.24503303855567626,3.2400928923294896
18,0.9098716596102089,0.02931972289377127,0.41156922320883715,0.8949782878860116,0.19100695537042112,0.5338859816982946,0.1487776562421036,0.45308892454613003,0.33554387353928616,0.11739843719148924,3.3333070526641224
19,0.12863119750938,0.6359003593513561,0.48102627550515353,0.0432228920796468,0.9674943068064185,0.1620158370505309,0.9400290149282735,0.9323506615420816,0.34956622802755977,0.3010533582011998,1.601203944887962
20,0.08178008709398521,0.032197934937924,0.18162884267382462,0.301946836262719,0.6507503664762934,0.597433108360375,0.8327161972832127,0.5874937474795024,0.3898742303282924,0.14526373397045378,3.461722659033658
